ROW,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card
1,Resort Hotel,0,342,2015,July,27,1,0,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,3,No Deposit,,,0,Transient,0,0,0,Check-Out,7/1/2015,Ernest Barnes,Ernest.Barnes31@outlook.com,669-792-1661,************4322
2,Resort Hotel,0,737,2015,July,27,1,0,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,4,No Deposit,,,0,Transient,0,0,0,Check-Out,7/1/2015,Andrea Baker,Andrea_Baker94@aol.com,858-637-6955,************9157
3,Resort Hotel,0,7,2015,July,27,1,0,1,1,0,0,BB,GBR,Direct,Direct,0,0,0,A,C,0,No Deposit,,,0,Transient,75,0,0,Check-Out,7/2/2015,Rebecca Parker,Rebecca_Parker@comcast.net,652-885-2745,************3734
4,Resort Hotel,0,13,2015,July,27,1,0,1,1,0,0,BB,GBR,Corporate,Corporate,0,0,0,A,A,0,No Deposit,304,,0,Transient,75,0,0,Check-Out,7/2/2015,Laura Murray,Laura_M@gmail.com,364-656-8427,************5677
5,Resort Hotel,0,14,2015,July,27,1,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,98,0,1,Check-Out,7/3/2015,Linda Hines,LHines@verizon.com,713-226-5883,************5498
6,Resort Hotel,0,14,2015,July,27,1,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,98,0,1,Check-Out,7/3/2015,Jasmine Fletcher,JFletcher43@xfinity.com,190-271-6743,************9263
7,Resort Hotel,0,0,2015,July,27,1,0,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,,,0,Transient,107,0,0,Check-Out,7/3/2015,Dylan Rangel,Rangel.Dylan@comcast.net,420-332-5209,************6994
8,Resort Hotel,0,9,2015,July,27,1,0,2,2,0,0,FB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,303,,0,Transient,103,0,1,Check-Out,7/3/2015,William Velez,Velez_William@mail.com,286-669-4333,************8729
9,Resort Hotel,1,85,2015,July,27,1,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,82,0,1,Canceled,5/6/2015,Steven Murphy,Steven.Murphy54@aol.com,341-726-5787,************3639
10,Resort Hotel,1,75,2015,July,27,1,0,3,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15,,0,Transient,105.5,0,0,Canceled,4/22/2015,Michael Moore,MichaelMoore81@outlook.com,316-648-6176,************9190
11,Resort Hotel,1,23,2015,July,27,1,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,123,0,0,Canceled,6/23/2015,Priscilla Collins PhD,PhD.Priscilla74@att.com,833-887-7898,************4642
12,Resort Hotel,0,35,2015,July,27,1,0,4,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,145,0,0,Check-Out,7/5/2015,Laurie Smith,Smith.Laurie@att.com,804-383-4080,************5450
13,Resort Hotel,0,68,2015,July,27,1,0,4,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,,0,Transient,97,0,3,Check-Out,7/5/2015,Casey Thomas,Casey_T78@outlook.com,211-071-2173,************8518
14,Resort Hotel,0,18,2015,July,27,1,0,4,2,1,0,HB,ESP,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,241,,0,Transient,154.77,0,1,Check-Out,7/5/2015,Rachel Friedman,Rachel.F@protonmail.com,435-075-8409,************9767
15,Resort Hotel,0,37,2015,July,27,1,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241,,0,Transient,94.71,0,0,Check-Out,7/5/2015,Edward Torres,Edward.T@zoho.com,790-746-7471,************7719
16,Resort Hotel,0,68,2015,July,27,1,0,4,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,,0,Transient,97,0,3,Check-Out,7/5/2015,Samuel Zavala,Zavala_Samuel46@xfinity.com,649-384-5387,************7612
17,Resort Hotel,0,37,2015,July,27,1,0,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,8,,0,Contract,97.5,0,0,Check-Out,7/5/2015,Dr. Victor Martin,Dr.Martin@xfinity.com,331-430-8824,************6279
18,Resort Hotel,0,12,2015,July,27,1,0,1,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240,,0,Transient,88.2,0,0,Check-Out,7/2/2015,Sara Lee,Sara.L@hotmail.com,573-306-9938,************8950
19,Resort Hotel,0,0,2015,July,27,1,0,1,2,0,0,BB,FRA,Corporate,Corporate,0,0,0,A,G,0,No Deposit,,110,0,Transient,107.42,0,0,Check-Out,7/2/2015,Curtis Rodriguez,CRodriguez@verizon.com,466-424-2102,************1179
20,Resort Hotel,0,7,2015,July,27,1,0,4,2,0,0,BB,GBR,Direct,Direct,0,0,0,G,G,0,No Deposit,250,,0,Transient,153,0,1,Check-Out,7/5/2015,Stephanie Schmidt,StephanieSchmidt@hotmail.com,896-642-1049,************1110
21,Resort Hotel,0,37,2015,July,27,1,1,4,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241,,0,Transient,97.29,0,1,Check-Out,7/6/2015,John Matthews,John.Matthews@aol.com,952-496-4398,************1019
